id,message,label,category,red_flags,source_type,difficulty,template_id,split
11,"Hệ thống thông báo bạn trúng voucher mua sắm. Phần thưởng chỉ được giữ trong 5 phút, hãy nhấn vào liên kết.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T03,train
12,"Hệ thống thông báo bạn trúng thẻ game trị giá cao. Phần thưởng chỉ được giữ trong vòng 30 phút, hãy bấm vào đường link.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T03,train
13,"Buổi sáng, Hệ thống thông báo bạn trúng gói dữ liệu miễn phí. Phần thưởng chỉ được giữ trong vòng 30 phút, hãy nhấn vào liên kết.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T03,train
14,"Hệ thống thông báo bạn trúng một điện thoại mới. Phần thưởng chỉ được giữ trước 18 giờ, hãy bấm vào liên kết.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T03,train
15,"Hệ thống thông báo bạn trúng voucher mua sắm. Phần thưởng chỉ được giữ trong 5 phút, hãy điền biểu mẫu.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,easy,LD1_REWARD_T03,train
16,"Buổi sáng, Quà tri ân dành riêng cho bạn: học bổng đặc biệt. Xác nhận nhận quà tại https://xac-minh.example/kiemtra.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T04,train
17,"Trong một cuộc trò chuyện, Quà tri ân dành riêng cho bạn: học bổng đặc biệt. Xác nhận nhận quà tại https://ho-tro.example/capnhat.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T04,train
18,Quà tri ân dành riêng cho bạn: gói dữ liệu miễn phí. Xác nhận nhận quà tại https://ho-tro.example/capnhat.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T04,train
19,"Sau giờ học, Quà tri ân dành riêng cho bạn: một điện thoại mới. Xác nhận nhận quà tại https://nhan-qua.example/xacnhan.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T04,train
20,"Khi đang dùng điện thoại, Quà tri ân dành riêng cho bạn: voucher mua sắm. Xác nhận nhận quà tại https://phan-thuong.example/nhanqua.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T04,train
21,Bạn vừa được chọn trong chương trình quay số và nhận 2 triệu đồng; nhập thông tin cá nhân để nhận ngay.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T05,train
22,"Qua hộp thư, Bạn vừa được chọn trong chương trình quay số và nhận một điện thoại mới; nhập thông tin cá nhân để nhận ngay.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T05,train
23,"Buổi sáng, Bạn vừa được chọn trong chương trình quay số và nhận một điện thoại mới; nhập thông tin cá nhân để nhận ngay.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T05,train
24,"Trong một cuộc trò chuyện, Bạn vừa được chọn trong chương trình quay số và nhận học bổng đặc biệt; nhập thông tin cá nhân để nhận ngay.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T05,train
25,"Trong một cuộc trò chuyện, Bạn vừa được chọn trong chương trình quay số và nhận một điện thoại mới; nhập thông tin cá nhân để nhận ngay.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T05,train
26,"Buổi sáng, Thông báo nhận thưởng: 2 triệu đồng. Xin xin vui lòng thanh toán một khoản phí nhỏ và bấm vào đường link.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T06,train
27,Thông báo nhận thưởng: thẻ game trị giá cao. Vui lòng thanh toán một khoản phí nhỏ và nhấn vào liên kết.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T06,train
28,Thông báo nhận thưởng: voucher mua sắm. Xin xin vui lòng thanh toán một khoản phí nhỏ và bấm vào đường link.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T06,train
29,"Sau giờ học, Thông báo nhận thưởng: voucher mua sắm. Vui lòng thanh toán một khoản phí nhỏ và xác minh qua trang web.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T06,train
30,"Buổi sáng, Thông báo nhận thưởng: học bổng đặc biệt. Xin xin vui lòng thanh toán một khoản phí nhỏ và đăng nhập qua đường dẫn.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T06,train
31,Mã khách hàng của bạn được chọn nhận một điện thoại mới; truy cập https://phan-thuong.example/nhanqua để hoàn tất thủ tục.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T07,train
32,"Qua hộp thư, Mã khách hàng của bạn được chọn nhận quà tri ân khách hàng; truy cập https://bao-mat.example/dangnhap để hoàn tất thủ tục.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T07,train
33,"Buổi tối, Mã khách hàng của bạn được chọn nhận học bổng đặc biệt; truy cập https://phan-thuong.example/nhanqua để hoàn tất thủ tục.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T07,train
34,Mã khách hàng của bạn được chọn nhận quà tri ân khách hàng; truy cập https://nhan-qua.example/xacnhan để hoàn tất thủ tục.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T07,train
35,"Khi đang dùng điện thoại, Mã khách hàng của bạn được chọn nhận 2 triệu đồng; truy cập https://nhan-qua.example/xacnhan để hoàn tất thủ tục.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,medium,LD1_REWARD_T07,train
36,"Trong ứng dụng nhắn tin, Nhận 5 triệu đồng miễn phí khi xác minh tài khoản ngay hôm nay.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T08,validation
37,Nhận quà tri ân khách hàng miễn phí khi xác minh tài khoản trong 10 phút.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T08,validation
38,Nhận học bổng đặc biệt miễn phí khi xác minh tài khoản trong vòng 30 phút.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T08,validation
39,Nhận học bổng đặc biệt miễn phí khi xác minh tài khoản trong 5 phút.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T08,validation
40,"Buổi sáng, Nhận quà tri ân khách hàng miễn phí khi xác minh tài khoản trong 5 phút.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T08,validation
41,Chỉ hôm nay: tài khoản của bạn đủ điều kiện nhận 5 triệu đồng; hãy bấm vào đường link để kích hoạt.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T09,validation
42,"Qua hộp thư, Chỉ hôm nay: tài khoản của bạn đủ điều kiện nhận quà tri ân khách hàng; hãy đăng nhập qua đường dẫn để kích hoạt.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T09,validation
43,Chỉ hôm nay: tài khoản của bạn đủ điều kiện nhận học bổng đặc biệt; hãy đăng nhập qua đường dẫn để kích hoạt.,1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T09,validation
44,"Sau giờ học, Chỉ hôm nay: tài khoản của bạn đủ điều kiện nhận một điện thoại mới; hãy xác minh qua trang web để kích hoạt.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T09,validation
45,"Trong một cuộc trò chuyện, Chỉ hôm nay: tài khoản của bạn đủ điều kiện nhận 5 triệu đồng; hãy nhấn vào liên kết để kích hoạt.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T09,validation
46,"Phần quà một điện thoại mới đang chờ xác nhận. Nếu không nhấn vào liên kết ngay hôm nay, quyền nhận sẽ bị hủy.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T10,test
47,"Sau giờ học, Phần quà một điện thoại mới đang chờ xác nhận. Nếu không nhấn vào liên kết trong vòng 30 phút, quyền nhận sẽ bị hủy.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T10,test
48,"Khi đang dùng điện thoại, Phần quà quà tri ân khách hàng đang chờ xác nhận. Nếu không nhấn vào liên kết trong 5 phút, quyền nhận sẽ bị hủy.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T10,test
49,"Phần quà voucher mua sắm đang chờ xác nhận. Nếu không điền biểu mẫu trước 18 giờ, quyền nhận sẽ bị hủy.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T10,test
50,"Sau giờ học, Phần quà 5 triệu đồng đang chờ xác nhận. Nếu không mở liên kết lập tức lập tức, quyền nhận sẽ bị hủy.",1,LD1_REWARD,reward;link;personal_info,synthetic_for_research,hard,LD1_REWARD_T10,test
51,"Khi đang dùng điện thoại, đơn vị giao hàng thông báo hồ sơ của bạn chưa được xác minh; hãy đăng nhập qua đường dẫn tại https://bao-mat.example/dangnhap.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T01,train
52,"Buổi tối, ngân hàng thông báo hồ sơ của bạn chưa được xác minh; hãy mở liên kết tại https://nhan-qua.example/xacnhan.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T01,train
53,nhà mạng thông báo hồ sơ của bạn chưa được xác minh; hãy xác minh qua trang web tại https://phan-thuong.example/nhanqua.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T01,train
54,đơn vị giao hàng thông báo hồ sơ của bạn chưa được xác minh; hãy bấm vào đường link tại https://phan-thuong.example/nhanqua.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T01,train
55,"Qua hộp thư, đơn vị giao hàng thông báo hồ sơ của bạn chưa được xác minh; hãy bấm vào liên kết tại https://ho-tro.example/capnhat.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T01,train
56,"Buổi sáng, Bộ phận hỗ trợ ngân hàng yêu cầu cập nhật thông tin cá nhân trong vòng 30 phút để tránh gián đoạn dịch vụ.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T02,train
57,"Trong một cuộc trò chuyện, Bộ phận hỗ trợ nhà mạng đề nghị cập nhật thông tin cá nhân trước 18 giờ để tránh gián đoạn dịch vụ.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T02,train
58,Bộ phận hỗ trợ trung tâm hỗ trợ tài khoản yêu cầu cập nhật thông tin cá nhân trong 10 phút để tránh gián đoạn dịch vụ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T02,train
59,Bộ phận hỗ trợ trung tâm hỗ trợ tài khoản yêu cầu cập nhật thông tin cá nhân trong vòng 30 phút để tránh gián đoạn dịch vụ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T02,train
60,Bộ phận hỗ trợ trung tâm hỗ trợ tài khoản yêu cầu cập nhật thông tin cá nhân trước 18 giờ để tránh gián đoạn dịch vụ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T02,train
61,"Sau giờ học, Có giao dịch bất thường trên hệ thống ngân hàng; vui lòng đăng nhập bằng liên kết https://phan-thuong.example/nhanqua để kiểm tra.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T03,train
62,Có giao dịch bất thường trên hệ thống ngân hàng; vui lòng đăng nhập bằng liên kết https://xac-minh.example/kiemtra để kiểm tra.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T03,train
63,"Qua hộp thư, Có giao dịch bất thường trên hệ thống sàn thương mại điện tử; vui lòng đăng nhập bằng liên kết https://xac-minh.example/kiemtra để kiểm tra.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T03,train
64,"Trong ứng dụng nhắn tin, Có giao dịch bất thường trên hệ thống trung tâm hỗ trợ tài khoản; xin vui lòng đăng nhập bằng liên kết https://xac-minh.example/kiemtra để kiểm tra.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T03,train
65,Có giao dịch bất thường trên hệ thống sàn thương mại điện tử; vui lòng đăng nhập bằng liên kết https://phan-thuong.example/nhanqua để kiểm tra.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,easy,LD2_ORG_IMPERSONATION_T03,train
66,"Trong ứng dụng nhắn tin, Nhân viên đơn vị giao hàng đề nghị bạn cung cấp số thẻ và mã xác thực để hoàn tất đối soát.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T04,train
67,Nhân viên nhà mạng đề nghị bạn cung cấp số thẻ và mã xác thực để hoàn tất đối soát.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T04,train
68,Nhân viên trung tâm hỗ trợ tài khoản đề nghị bạn cung cấp số thẻ và mã xác thực để hoàn tất đối soát.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T04,train
69,"Trong ứng dụng nhắn tin, Nhân viên bưu điện đề nghị bạn cung cấp số thẻ và mã xác thực để hoàn tất đối soát.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T04,train
70,Nhân viên bưu điện đề nghị bạn cung cấp số thẻ và mã xác thực để hoàn tất đối soát.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T04,train
71,"Khi đang dùng điện thoại, ngân hàng thông báo bạn còn một khoản phí chưa xử lý; thanh toán qua đường dẫn được gửi trong tin nhắn.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T05,train
72,ngân hàng thông báo bạn còn một khoản phí chưa xử lý; thanh toán qua đường dẫn được gửi trong tin nhắn.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T05,train
73,"Qua hộp thư, sàn thương mại điện tử thông báo bạn còn một khoản phí chưa xử lý; thanh toán qua đường dẫn được gửi trong tin nhắn.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T05,train
74,sàn thương mại điện tử thông báo bạn còn một khoản phí chưa xử lý; thanh toán qua đường dẫn được gửi trong tin nhắn.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T05,train
75,"Buổi sáng, trung tâm hỗ trợ tài khoản thông báo bạn còn một khoản phí chưa xử lý; thanh toán qua đường dẫn được gửi trong tin nhắn.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T05,train
76,"Buổi sáng, Tài khoản của bạn tại ngân hàng cần định danh lại; hãy điền CCCD và thông tin tài khoản tại https://xac-minh.example/kiemtra.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T06,train
77,"Khi đang dùng điện thoại, Tài khoản của bạn tại trung tâm hỗ trợ tài khoản cần định danh lại; hãy điền CCCD và thông tin tài khoản tại https://bao-mat.example/dangnhap.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T06,train
78,Tài khoản của bạn tại nhà mạng cần định danh lại; hãy điền CCCD và thông tin tài khoản tại https://xac-minh.example/kiemtra.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T06,train
79,"Qua hộp thư, Tài khoản của bạn tại sàn thương mại điện tử cần định danh lại; hãy điền CCCD và thông tin tài khoản tại https://ho-tro.example/capnhat.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T06,train
80,"Buổi tối, Tài khoản của bạn tại sàn thương mại điện tử cần định danh lại; hãy điền CCCD và thông tin tài khoản tại https://xac-minh.example/kiemtra.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T06,train
81,Tin khẩn từ bưu điện: dịch vụ sẽ tạm ngừng nếu bạn không xác nhận thông tin trước 18 giờ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T07,train
82,Tin khẩn từ ngân hàng: dịch vụ sẽ tạm ngừng nếu bạn không xác nhận thông tin trong vòng 30 phút.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T07,train
83,"Buổi tối, Tin khẩn từ sàn thương mại điện tử: dịch vụ sẽ tạm ngừng nếu bạn không xác nhận thông tin ngay hôm nay.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T07,train
84,Tin khẩn từ đơn vị giao hàng: dịch vụ sẽ tạm ngừng nếu bạn không xác nhận thông tin trong 10 phút.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T07,train
85,"Buổi sáng, Tin khẩn từ bưu điện: dịch vụ sẽ tạm ngừng nếu bạn không xác nhận thông tin trước 18 giờ.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,medium,LD2_ORG_IMPERSONATION_T07,train
86,"Sau giờ học, Hỗ trợ viên tự xưng từ ngân hàng đề nghị cài ứng dụng từ một đường link để xử lý sự cố.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T08,validation
87,Hỗ trợ viên tự xưng từ đơn vị giao hàng đề nghị cài ứng dụng từ một đường link để xử lý sự cố.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T08,validation
88,Hỗ trợ viên tự xưng từ bưu điện đề nghị cài ứng dụng từ một đường link để xử lý sự cố.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T08,validation
89,Hỗ trợ viên tự xưng từ ngân hàng đề nghị cài ứng dụng từ một đường link để xử lý sự cố.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T08,validation
90,Hỗ trợ viên tự xưng từ nhà mạng đề nghị cài ứng dụng từ một đường link để xử lý sự cố.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T08,validation
91,"Trong lúc kiểm tra thông báo, bưu điện thông báo hoàn tiền cho bạn; hãy nhập thông tin thẻ tại https://ho-tro.example/capnhat để nhận tiền.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T09,test
92,bưu điện thông báo hoàn tiền cho bạn; hãy nhập thông tin thẻ tại https://phan-thuong.example/nhanqua để nhận tiền.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T09,test
93,trung tâm hỗ trợ tài khoản thông báo hoàn tiền cho bạn; hãy nhập thông tin thẻ tại https://ho-tro.example/capnhat để nhận tiền.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T09,test
94,"Trong một cuộc trò chuyện, ngân hàng thông báo hoàn tiền cho bạn; hãy nhập thông tin thẻ tại https://nhan-qua.example/xacnhan để nhận tiền.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T09,test
95,"Trong ứng dụng nhắn tin, ngân hàng thông báo hoàn tiền cho bạn; hãy nhập thông tin thẻ tại https://phan-thuong.example/nhanqua để nhận tiền.",1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T09,test
96,Một tài khoản tự xưng là trung tâm hỗ trợ tài khoản đề nghị chuyển tiền vào tài khoản cá nhân để giải quyết hồ sơ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T10,test
97,Một tài khoản tự xưng là đơn vị giao hàng yêu cầu chuyển tiền vào tài khoản cá nhân để giải quyết hồ sơ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T10,test
98,Một tài khoản tự xưng là ngân hàng yêu cầu chuyển tiền vào tài khoản cá nhân để giải quyết hồ sơ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T10,test
99,Một tài khoản tự xưng là bưu điện yêu cầu chuyển tiền vào tài khoản cá nhân để giải quyết hồ sơ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T10,test
100,Một tài khoản tự xưng là sàn thương mại điện tử yêu cầu chuyển tiền vào tài khoản cá nhân để giải quyết hồ sơ.,1,LD2_ORG_IMPERSONATION,impersonation;link;personal_info,synthetic_for_research,hard,LD2_ORG_IMPERSONATION_T10,test
101,"Trong một cuộc trò chuyện, Tài khoản của người quen nhắn rằng đang cần thanh toán gấp và nhờ bạn chuyển 300 nghìn đồng ngay.",1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T01,train
102,"Trong một cuộc trò chuyện, Tài khoản của người thân nhắn rằng tài khoản ngân hàng đang lỗi và nhờ bạn chuyển 1 triệu đồng ngay.",1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T01,train
103,Tài khoản của bạn thân nhắn rằng bị mất ví và nhờ bạn chuyển 300 nghìn đồng ngay.,1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T01,train
104,Tài khoản của người quen nhắn rằng điện thoại sắp hết pin và nhờ bạn chuyển 200 nghìn đồng ngay.,1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T01,train
105,Tài khoản của anh họ nhắn rằng đang kẹt ở ngoài đường và nhờ bạn chuyển 300 nghìn đồng ngay.,1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T01,train
106,"người quen gửi tin nhắn hỏi vay 100 nghìn đồng, nói rằng sẽ trả lại vào tối nay và yêu cầu chuyển gấp.",1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T02,train
107,"Sau giờ học, người thân gửi tin nhắn hỏi vay 300 nghìn đồng, nói rằng sẽ trả lại vào tối nay và yêu cầu chuyển gấp.",1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T02,train
108,"bạn cùng lớp gửi tin nhắn hỏi vay 100 nghìn đồng, nói rằng sẽ trả lại vào tối nay và yêu cầu chuyển gấp.",1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T02,train
109,"Trong một cuộc trò chuyện, chị họ gửi tin nhắn hỏi vay 500 nghìn đồng, nói rằng sẽ trả lại vào tối nay và yêu cầu chuyển gấp.",1,LD3_FRIEND_IMPERSONATION,impersonation;urgency;money,synthetic_for_research,easy,LD3_FRIEND_IMPERSONATION_T02,train
