question_id,category,question,A,B,C,D,answer,explanation
Q011,Khẩn cấp/Chuyển tiền,Người tự xưng là công an yêu cầu chuyển tiền vào 'tài khoản an toàn' để kiểm tra. Bạn nên làm gì?,Chuyển ngay,"Không chuyển và báo cho người lớn, liên hệ cơ quan chính thức",Chuyển một nửa,Cung cấp OTP,B,Cơ quan chức năng không yêu cầu chuyển tiền vào tài khoản cá nhân để phục vụ điều tra.
Q012,Việc làm/Đầu tư,"Quảng cáo 'nạp 300 nghìn, nhận 900 nghìn sau 10 phút'. Bạn nên làm gì?",Thử vì lợi nhuận cao,Không tham gia; đây là dấu hiệu lợi nhuận bất thường,Nạp ít hơn,Mời bạn cùng tham gia,B,Lời hứa lợi nhuận rất cao trong thời gian ngắn là dấu hiệu rủi ro.
Q013,Mạng xã hội,Bạn nhận tin nhắn yêu cầu đăng nhập lại Facebook qua một link lạ để tránh khóa tài khoản. Bạn nên làm gì?,Đăng nhập qua link,Tự mở ứng dụng Facebook hoặc trang chính thức để kiểm tra,Gửi mật khẩu cho người nhắn,Tắt điện thoại,B,Không đăng nhập tài khoản quan trọng qua đường link bất ngờ.
Q014,Game,Một người hứa tặng thẻ game nếu bạn cung cấp tài khoản và mật khẩu. Bạn nên làm gì?,Cung cấp vì chỉ là tài khoản game,Không cung cấp thông tin đăng nhập,Đổi mật khẩu thành đơn giản rồi gửi,Gửi tài khoản của bạn khác,B,Thông tin đăng nhập cần được bảo vệ dù đó là tài khoản game.
Q015,Thông tin cá nhân,Biểu mẫu lạ yêu cầu số thẻ ngân hàng và mã CVV để nhận học bổng. Bạn nên làm gì?,Điền đủ để nhận học bổng,Không điền và kiểm tra nguồn học bổng chính thức,Chỉ điền CVV,Chụp thẻ gửi qua tin nhắn,B,Thông tin thẻ và CVV là dữ liệu tài chính nhạy cảm.
Q016,Đường link,Một tin nhắn từ số lạ nói có bưu phẩm và yêu cầu thanh toán qua link. Bạn nên làm gì?,Bấm link thanh toán,Tra cứu qua ứng dụng/website chính thức của đơn vị vận chuyển,Gửi OTP,Chuyển tiền cho số lạ,B,Cần kiểm tra đơn hàng bằng kênh chính thức thay vì đường link trong tin nhắn lạ.
Q017,Giả danh,"Người thân nhắn từ tài khoản mới và nói mất điện thoại, cần vay tiền gấp. Bạn nên làm gì?",Chuyển tiền ngay,Gọi số cũ hoặc liên hệ người thân khác để xác minh,Gửi ảnh CCCD,Đưa mật khẩu tài khoản,B,Tình huống khẩn cấp cần được xác minh qua kênh khác trước khi chuyển tiền.
Q018,OTP/Mật khẩu,Bạn nhận được OTP dù không thực hiện giao dịch nào. Bạn nên làm gì?,Gửi OTP cho người nhắn hỏi,Không chia sẻ OTP; kiểm tra tài khoản và báo người lớn nếu cần,Đăng OTP lên mạng,Bỏ qua mọi cảnh báo,B,OTP bất ngờ có thể cho thấy ai đó đang thử truy cập tài khoản của bạn.
Q019,Khóa tài khoản,Email có tiêu đề 'KHẨN: tài khoản hết hạn hôm nay' và gắn nút đăng nhập. Bạn nên làm gì?,Bấm nút ngay,Tự mở trang chính thức để kiểm tra trạng thái tài khoản,Trả lời email bằng mật khẩu,Chuyển tiếp cho bạn bè,B,Ngôn ngữ khẩn cấp thường được dùng để khiến người nhận hành động vội vàng.
Q020,Trúng thưởng,Một tài khoản mạng xã hội thông báo bạn thắng minigame mà bạn chưa từng tham gia. Bạn nên làm gì?,Tin vì có logo đẹp,Kiểm tra trang chính thức và không cung cấp thông tin cá nhân,Gửi số thẻ,Đóng phí nhận giải,B,Phần thưởng từ chương trình mình chưa tham gia là dấu hiệu cần cảnh giác.
Q021,Việc làm/Đầu tư,Tin tuyển cộng tác viên yêu cầu mua đơn hàng trước để được hoàn tiền và hoa hồng. Bạn nên làm gì?,Mua thử đơn đầu,Không chuyển tiền trước và kiểm tra doanh nghiệp,Mượn tiền để làm nhiều đơn,Gửi OTP để nhận nhiệm vụ,B,Mô hình yêu cầu ứng tiền trước để nhận hoa hồng thường có rủi ro cao.
Q022,Mạng xã hội,Bạn nhận tin 'bình chọn cho mình nhé' kèm link đăng nhập. Bạn nên làm gì?,Đăng nhập ngay để giúp bạn,Xác minh với người gửi và không đăng nhập qua link lạ,Nhập mật khẩu tạm,Gửi link vào nhóm,B,Tài khoản người quen có thể bị chiếm dụng để phát tán link đánh cắp tài khoản.
Q023,Thông tin cá nhân,"Một người lạ xin ngày sinh, địa chỉ và ảnh thẻ học sinh để 'xác nhận quà'. Bạn nên làm gì?",Cung cấp đầy đủ,Không cung cấp; đây là thông tin cá nhân,Chỉ gửi địa chỉ,Gửi ảnh của bạn khác,B,Không nên chia sẻ dữ liệu nhận dạng cá nhân với người lạ.
Q024,Khẩn cấp/Chuyển tiền,Tin nhắn dọa sẽ công khai thông tin nếu bạn không chuyển tiền trong 30 phút. Bạn nên làm gì?,Chuyển tiền để tránh rắc rối,Không chuyển; lưu bằng chứng và báo người lớn/cơ quan phù hợp,Xóa hết tin nhắn ngay,Gửi thêm thông tin cá nhân,B,Đe dọa và ép thời gian là cách thao túng; cần tìm hỗ trợ thay vì làm theo.
Q025,Game,Trang tặng vật phẩm game yêu cầu tải một tệp lạ về điện thoại. Bạn nên làm gì?,Tải về để thử,Không tải từ nguồn không rõ; dùng cửa hàng ứng dụng/chính chủ,Tắt bảo mật để cài,Gửi tệp cho bạn thử,B,Tệp không rõ nguồn có thể chứa mã độc hoặc đánh cắp tài khoản.
Q026,Đường link,Bạn nhìn thấy địa chỉ trang gần giống website thật nhưng sai một ký tự. Bạn nên làm gì?,Vẫn đăng nhập vì nhìn gần giống,Không đăng nhập; kiểm tra kỹ tên miền chính thức,Nhập thử mật khẩu sai,Gửi OTP để kiểm tra,B,Tên miền giả thường cố tình giống tên miền thật để đánh lừa người dùng.
Q027,Giả danh,Một người tự xưng là giáo viên gọi điện yêu cầu cung cấp mã xác thực tài khoản học tập. Bạn nên làm gì?,Cung cấp ngay,Liên hệ lại giáo viên qua kênh chính thức và không cung cấp mã,Gửi mã cho bạn cùng lớp,Đăng mã lên nhóm,B,Cần xác minh danh tính và không chia sẻ mã xác thực.
Q028,OTP/Mật khẩu,Bạn nhận tin: 'Không cung cấp OTP cho bất kỳ ai'. Đây là loại thông điệp nào?,Luôn là lừa đảo vì có chữ OTP,Có thể là khuyến cáo an toàn; cần xem nguồn và ngữ cảnh,Phải gửi OTP để xác minh,Phải xóa ngay mọi tin có chữ OTP,B,Không thể phân loại chỉ dựa vào một từ khóa; cần xem toàn bộ nội dung và nguồn gửi.
Q029,Mạng xã hội,Bạn nhận lời mời kết bạn từ tài khoản dùng ảnh của người quen nhưng vừa tạo hôm nay. Bạn nên làm gì?,Chấp nhận ngay,Xác minh với người quen qua kênh khác trước khi tương tác,Gửi thông tin cá nhân,Chuyển tiền thử,B,Tài khoản giả có thể dùng ảnh của người thật; cần xác minh trước.
Q030,Tổng hợp,"Khi gặp một tin nhắn khiến bạn thấy vừa sợ vừa phải hành động ngay, bước đầu tiên nên là gì?",Làm theo ngay,"Dừng lại, kiểm tra và xác minh",Xóa tài khoản,Chuyển tiền để an toàn,B,Dừng lại trước khi hành động giúp giảm nguy cơ bị thao túng bởi cảm giác khẩn cấp.
