question_id,construct,question,A,B,C,D,answer
POST11,Việc làm/đầu tư,Tin việc làm online hứa 1 triệu/ngày nhưng yêu cầu mua “gói nhiệm vụ” trước. Bạn nên đánh giá thế nào?,Cơ hội tốt,Rủi ro cao vì yêu cầu trả tiền trước,An toàn nếu số tiền nhỏ,Chỉ cần xem bình luận là đủ,B
POST12,Việc làm/đầu tư,Một kênh đầu tư khẳng định “lãi cố định 15%/tuần và hoàn vốn 100%”. Cách xử lý phù hợp?,Thử một ít,Không chuyển tiền; tìm hiểu nguồn và trao đổi với người lớn/người có chuyên môn,Mượn tiền để đầu tư,Chỉ gửi thông tin cá nhân trước,B
POST13,Khẩn cấp/chuyển tiền,Bạn nhận cuộc gọi/tin nhắn nói người thân gặp tai nạn và cần chuyển tiền ngay. Việc đầu tiên?,Chuyển ngay,"Bình tĩnh, gọi xác minh người thân/cơ sở liên quan qua số tin cậy",Đăng bài hỏi cộng đồng,Gửi thông tin tài khoản của mình,B
POST14,Khẩn cấp/chuyển tiền,Tin “tài khoản sẽ bị khóa sau 3 phút nếu không làm theo” đang dùng thủ thuật gì?,Cung cấp thông tin đầy đủ,Tạo áp lực thời gian để người nhận mất bình tĩnh,Giải thích rõ quy trình,Khuyến khích đọc kỹ,B
POST15,Thông tin cá nhân,"Một đường dẫn khảo sát lạ yêu cầu số CCCD, tài khoản ngân hàng và mật khẩu. Bạn nên làm gì?",Điền để hoàn thành khảo sát,Không cung cấp và kiểm tra đơn vị tổ chức qua kênh chính thức,Chỉ điền số CCCD,Nhờ bạn kiểm tra bằng tài khoản của bạn,B
POST16,Thông tin cá nhân,Thông tin nào cần được bảo vệ nghiêm ngặt nhất?,Môn học yêu thích,Mật khẩu và mã xác thực,Tên câu lạc bộ,Lịch học,B
POST17,Mạng xã hội/game,Một “admin game” yêu cầu gửi mật khẩu để nhận vật phẩm miễn phí. Bạn nên làm gì?,Gửi mật khẩu,Không gửi; dùng kênh hỗ trợ chính thức của trò chơi,Đổi mật khẩu tạm thời rồi gửi,Cho bạn bè thử trước,B
POST18,Mạng xã hội/game,Bạn được gửi link “xem ai đã xem hồ sơ của bạn” và phải đăng nhập mạng xã hội. Cách xử lý?,Đăng nhập để xem thử,Không đăng nhập qua link lạ; kiểm tra tính năng trong ứng dụng chính thức,Dùng mật khẩu đơn giản,Mở bằng Wi-Fi khác,B
POST19,Đánh giá thông điệp an toàn,Tin nhắn: “Cô chủ nhiệm nhắc lớp tuyệt đối không chia sẻ mật khẩu và chỉ dùng cổng học tập chính thức”. Đánh giá phù hợp?,Lừa đảo vì có từ mật khẩu,Là nội dung hướng dẫn an toàn; có thể xác minh nguồn nếu cần,Nguy hiểm vì nhắc cổng học tập,Phải xóa ngay,B
POST20,Đánh giá thông điệp an toàn,"Khi một tin nhắn vừa hấp dẫn vừa thúc giục bạn hành động, cách tốt nhất là gì?",Làm ngay trước khi hết hạn,"Dừng lại, kiểm tra nguồn và xác minh độc lập trước khi hành động",Tin nếu nhiều biểu tượng cảm xúc,Chỉ hỏi chính người gửi,B
